Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
TAMGHAS,725.0,N,CLIMATOLOGY,Gulmi,28.066667,83.25,1530,,1979-11-03,POINT (83.25 28.066667)
GARAKOT,726.0,N,PRECIPITATION,Palpa,27.866667,83.8,500,,1979-11-03,POINT (83.8 27.866667)
LUMBINI MANDIR,727.0,R,CLIMATOLOGY,Rupandehi,27.466667,83.283333,95,,1980-10-03,POINT (83.283333 27.466667)
SIMARI,728.0,R,CLIMATOLOGY,Nawalparasi,27.533333,83.75,154,,1981-04-03,POINT (83.75 27.533333)
SITAPUR(NEPANEY),730.0,R,PRECIPITATION,Arghakhanchi,27.9,83.15,1201,,2000-12-03,POINT (83.15 27.9)
JAGAT (SETIBAS),801.0,N,PRECIPITATION,Gorkha,28.366667,84.9,1334,1957-07-01,1971-11-03,POINT (84.9 28.366667)
KHUDI BAZAR,802.0,N,CLIMATOLOGY,Lamjung,28.283333,84.366667,823,1957-07-01,1971-11-03,POINT (84.366667 28.283333)
POKHARA AIRPORT,804.0,N,AERONATICAL,Kaski,28.216667,84.0,827,,1965-10-03,POINT (84 28.216667)
SYANGJA,805.0,N,CLIMATOLOGY,Syangia,28.1,83.883333,868,,1972-11-03,POINT (83.883333 28.1)
LARKE SAMDO,806.0,N,PRECIPITATION,Gorkha,28.666667,84.616667,3650,,1978-06-03,POINT (84.616667 28.666667)
KUNCHHA,807.0,N,PRECIPITATION,Lamiung,28.133333,84.35,855,1956-06-01,1971-11-03,POINT (84.35 28.133333)
BANDIPUR,808.0,N,CLIMATOLOGY,Tanahun,27.933333,84.416667,965,1956-06-01,1971-11-03,POINT (84.416667 27.933333)
GORKHA,809.0,N,AGROMETEOROLOGY,Gorkha,28.0,84.616667,1097,1956-06-01,1971-11-03,POINT (84.616667 28)
CHAPKOT,810.0,N,CLIMATOLOGY,Syangja,27.883333,83.816667,460,1957-02-01,1972-01-03,POINT (83.816667 27.883333)
MALEPATAN(POKHARA),811.0,N,AGROMETEOROLOGY,Kaski,28.116667,84.116667,856,,1966-04-03,POINT (84.116667 28.116667)
BHADAURE DEURALI,813.0,N,PRECIPITATION,Kaski,28.266667,83.816667,1600,,1969-05-03,POINT (83.816667 28.266667)
LUMLE,814.0,N,AGROMETEOROLOGY,Kaski,28.3,83.8,1740,,1969-11-03,POINT (83.8 28.3)
KHAIRINI TAR,815.0,N,AGROMETEOROLOGY,Tanahun,28.033333,84.1,500,1969-03-01,1974-07-03,POINT (84.1 28.033333)
CHAME,816.0,N,CLIMATOLOGY,Manang,28.55,84.233333,2680,,1974-07-03,POINT (84.233333 28.55)
DAMAULI,817.0,N,CLIMATOLOGY,Tanahun,27.966667,84.283333,358,1974-01-01,1974-07-03,POINT (84.283333 27.966667)
LAMACHAUR,818.0,N,PRECIPITATION,Kaski,28.266667,83.966667,1070,1972-01-01,1972-07-03,POINT (83.966667 28.266667)
MANANG BHOT,820.0,N,CLIMATOLOGY,Manang,28.666667,84.016667,3420,,1975-06-03,POINT (84.016667 28.666667)
GHANDRUK,821.0,N,PRECIPITATION,Kaski,28.383333,83.8,1960,,1976-05-03,POINT (83.8 28.383333)
GHAREDHUNGA,823.0,N,PRECIPITATION,Lamjung,28.2,84.616667,1120,,1976-07-03,POINT (84.616667 28.2)
SIKLESH,824.0,N,PRECIPITATION,Kaski,28.366667,84.1,1820,,1977-06-03,POINT (84.1 28.366667)
WALLING,826.0,N,PRECIPITATION,Syangja,27.983333,83.766667,750,,1988-11-03,POINT (83.766667 27.983333)
RUMJAKOT,827.0,N,PRECIPITATION,Tanahun,27.866667,84.133333,660,,1989-05-03,POINT (84.133333 27.866667)
SALLYAN,829.0,N,PRECIPITATION,Kaski,28.266667,83.75,1000,1992-06-01,,POINT (83.75 28.266667)
PAMDUR,830.0,N,PRECIPITATION,Kaski,28.266667,83.783333,1160,1992-06-01,,POINT (83.783333 28.266667)
DANDASWANRA,832.0,N,PRECIPITATION,Syangja,28.083333,83.916667,1432,,1999-05-03,POINT (83.916667 28.083333)
CHHEKAMPAR,833.0,N,PRECIPITATION,Gorkha,28.483333,85.0,3300,,1999-07-03,POINT (85 28.483333)
PHU GAUN,834.0,N,PRECIPITATION,Manang,28.766667,84.283333,4100,,2018-07-04,POINT (84.283333 28.766667)
POKHARA REG.OFF.,866.0,N,CLIMATOLOGY,Kaski,28.216667,83.983333,827,,2018-03-07,POINT (83.983333 28.216667)
RAMPUR,902.0,N,AGROMETEOROLOGY,Chitawan,27.616667,84.416667,256,,1967-01-03,POINT (84.416667 27.616667)
JHAWANI,903.0,N,PRECIPITATION,Chitawan,27.583333,84.533333,270,1957-02-01,1971-12-03,POINT (84.533333 27.583333)
CHISAPANI GADHI,904.0,B,PRECIPITATION,Makwanpur,27.55,85.133333,1706,1956-05-01,1971-12-03,POINT (85.133333 27.55)
DAMAN,905.0,B,CLIMATOLOGY,Makwanpur,27.6,85.083333,2314,1965-09-01,1971-05-03,POINT (85.083333 27.6)
HETAUNDA N.F.I.,906.0,N,CLIMATOLOGY,Makwanpur,27.416667,85.05,474,,1966-08-03,POINT (85.05 27.416667)
AMLEKHGANJ,907.0,B,PRECIPITATION,Bara,27.283333,85.0,396,1955-06-01,1971-12-03,POINT (85 27.283333)
SIMARA AIRPORT,909.0,B,AERONATICAL,Bara,27.166667,84.983333,130,,1965-09-03,POINT (84.983333 27.166667)
NIJGADH,910.0,B,PRECIPITATION,Bara,27.183333,85.166667,244,1955-06-01,1971-12-03,POINT (85.166667 27.183333)
