date,lat,lon,temperature_celsius,total_precip_m,snow_melt_m,large_scale_snow_melt_m,snow_runoff_m,number,expver,t2m_norm,tp_norm,smlt_norm,lblt_norm,src_norm
2025-04-09,31.0,86.49999999999963,-0.15292358,0.00029730797,4.0650368e-05,276.67993,4.7683716e-07,0,0005,-0.42557353,-0.395283,-0.2391597,-0.8964332,-0.51939756
2025-04-09,31.0,86.59999999999962,-1.1138611,0.00022545457,1.2785196e-05,276.9319,3.2782555e-07,0,0005,-0.48802167,-0.43578717,-0.25637668,-0.8580377,-0.5208843
2025-04-09,31.0,86.69999999999962,-4.1822205,0.00014686584,0.000107679516,276.72192,1.9967556e-06,0,0005,-0.68742406,-0.48008808,-0.19774456,-0.8900339,-0.504233
2025-04-09,31.0,86.79999999999961,-5.15683,0.00013846159,9.566173e-05,276.71118,5.364418e-07,0,0005,-0.7507607,-0.4848256,-0.20516998,-0.89167094,-0.5188029
2025-04-09,31.0,86.89999999999961,-3.2037048,0.00015321374,8.396804e-05,276.7981,3.5762787e-07,0,0005,-0.6238336,-0.47650972,-0.21239512,-0.87842596,-0.5205869
2025-04-09,31.0,86.9999999999996,-1.7427673,0.00016850233,1.019612e-05,276.8479,2.9802322e-08,0,0005,-0.52889216,-0.46789145,-0.25797638,-0.8708362,-0.5238577
2025-04-09,31.0,87.0999999999996,-2.3033142,0.00016757846,3.6071986e-05,276.636,1.4901161e-07,0,0005,-0.5653202,-0.46841225,-0.24198854,-0.90313005,-0.52266836
2025-04-09,31.0,87.19999999999959,-3.738861,0.00017178059,5.3696334e-05,276.6057,2.0861626e-07,0,0005,-0.65861166,-0.4660435,-0.23109902,-0.90774345,-0.5220737
2025-04-09,31.0,87.29999999999959,-4.818939,0.00018176436,0.000105995685,276.46606,3.2782555e-07,0,0005,-0.7288023,-0.46041557,-0.19878495,-0.92902464,-0.5208843
2025-04-09,31.0,87.39999999999958,-5.115814,0.00018024445,9.972602e-05,276.89966,-2.775558e-20,0,0005,-0.7480952,-0.46127236,-0.20265877,-0.8629488,-0.5241551
2025-04-09,31.0,87.49999999999957,-4.9830017,0.0001693666,0.00012541562,276.84888,2.9802322e-08,0,0005,-0.73946416,-0.46740428,-0.186786,-0.87068737,-0.5238577
2025-04-09,31.0,87.59999999999957,-5.7466736,0.00015822053,0.00010853633,276.36255,8.940697e-08,0,0005,-0.78909266,-0.47368738,-0.19721517,-0.9447995,-0.52326304
2025-04-09,31.0,87.69999999999956,-6.37558,0.00017493963,0.00010328367,276.76587,2.9802322e-08,0,0005,-0.8299632,-0.46426272,-0.20046061,-0.883337,-0.5238577
2025-04-09,31.0,87.79999999999956,-6.9146423,0.00015720725,9.576604e-05,276.76196,-2.775558e-20,0,0005,-0.86499506,-0.47425857,-0.20510551,-0.8839323,-0.5241551
2025-04-09,31.0,87.89999999999955,-7.4185486,0.00013166666,9.010732e-05,276.69067,2.9802322e-08,0,0005,-0.8977423,-0.48865595,-0.20860186,-0.89479613,-0.5238577
2025-04-09,31.0,87.99999999999955,-7.441986,0.00010719895,8.4180385e-05,276.58618,2.9802322e-08,0,0005,-0.8992654,-0.5024485,-0.21226391,-0.9107198,-0.5238577
2025-04-09,31.0,88.09999999999954,-6.912689,8.9257956e-05,6.910041e-05,276.58228,2.9802322e-08,0,0005,-0.86486816,-0.512562,-0.22158134,-0.9113151,-0.5238577
2025-04-09,31.0,88.19999999999953,-6.002533,7.1793795e-05,5.641207e-05,276.64087,2.9802322e-08,0,0005,-0.80572015,-0.52240664,-0.22942106,-0.90238595,-0.5238577
2025-04-09,31.0,88.29999999999953,-4.645111,6.3061714e-05,4.4234097e-05,276.72974,1.7881393e-07,0,0005,-0.7175058,-0.52732897,-0.23694544,-0.88884336,-0.522371
2025-04-09,31.0,88.39999999999952,-4.018158,6.03199e-05,2.117455e-05,276.91333,1.1920929e-07,0,0005,-0.6767622,-0.5288745,-0.25119317,-0.8608653,-0.52296567
2025-04-09,31.0,88.49999999999952,-4.7583923,7.6174736e-05,2.5302172e-05,276.76392,4.7683716e-07,0,0005,-0.7248676,-0.51993704,-0.24864286,-0.8836347,-0.51939756
2025-04-09,31.0,88.59999999999951,-5.725189,9.444356e-05,3.6846846e-05,276.89575,5.066395e-07,0,0005,-0.7876965,-0.50963885,-0.24150978,-0.86354405,-0.5191002
2025-04-09,31.0,88.6999999999995,-6.328705,0.00013411045,3.8649887e-05,276.63403,2.682209e-07,0,0005,-0.82691693,-0.48727837,-0.24039574,-0.90342766,-0.52147895
2025-04-09,31.0,88.7999999999995,-7.21933,0.0001834631,4.0818006e-05,276.7854,2.3841858e-07,0,0005,-0.8847957,-0.459458,-0.23905613,-0.88036066,-0.5217763
2025-04-09,31.0,88.8999999999995,-7.0708923,0.00022646785,4.2948872e-05,276.78638,2.0861626e-07,0,0005,-0.87514925,-0.43521598,-0.23773953,-0.88021183,-0.5220737
2025-04-09,31.0,89.0,-7.1197205,0.00021257997,2.0675361e-05,276.802,5.9604645e-08,0,0005,-0.8783224,-0.44304466,-0.25150162,-0.8778307,-0.5235604
2025-04-09,30.9,80.0,-11.727142,0.0,0.0,277.00024,0.00011327863,0,0005,-1.1777434,-0.5628772,-0.26427624,-0.8476203,0.60605156
2025-04-09,30.9,80.1,-12.979095,0.0,0.0,277.0393,2.7149916e-05,0,0005,-1.2591037,-0.5628772,-0.26427624,-0.84166753,-0.25327417
